yearm,var_code,area_code,var_stub,data_survey,seas,measure,value,area_label,data_survey_label,data_survey_type,data_survey_type_label,hover_label
Jan 1990,US_N_CES_SA,US,N,CES,SA,lvl,109199,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jan 1990</b>, United States, <b>CES SA</b><br>109 199.0"
Jan 1990,US_N_CES_SA,US,N,CES,SA,dmm,NA,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),NA
Feb 1990,US_N_CES_SA,US,N,CES,SA,lvl,109435,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Feb 1990</b>, United States, <b>CES SA</b><br>109 435.0"
Feb 1990,US_N_CES_SA,US,N,CES,SA,dmm,236,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Feb 1990</b>, United States, <b>CES SA</b><br>236.0"
Mar 1990,US_N_CES_SA,US,N,CES,SA,lvl,109644,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Mar 1990</b>, United States, <b>CES SA</b><br>109 644.0"
Mar 1990,US_N_CES_SA,US,N,CES,SA,dmm,209,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Mar 1990</b>, United States, <b>CES SA</b><br>209.0"
Apr 1990,US_N_CES_SA,US,N,CES,SA,lvl,109686,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Apr 1990</b>, United States, <b>CES SA</b><br>109 686.0"
Apr 1990,US_N_CES_SA,US,N,CES,SA,dmm,42,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Apr 1990</b>, United States, <b>CES SA</b><br>42.0"
May 1990,US_N_CES_SA,US,N,CES,SA,lvl,109839,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>May 1990</b>, United States, <b>CES SA</b><br>109 839.0"
May 1990,US_N_CES_SA,US,N,CES,SA,dmm,153,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>May 1990</b>, United States, <b>CES SA</b><br>153.0"
Jun 1990,US_N_CES_SA,US,N,CES,SA,lvl,109856,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jun 1990</b>, United States, <b>CES SA</b><br>109 856.0"
