area_label,naics_custom,naics_custom_label,measure,yr,lvl,gyy,dyy,hover_label
Seattle MD,TTL,Total Nonfarm,Mar Employment,2002,1296853,NA,NA,NA
Seattle MD,TTL,Total Nonfarm,Mar Employment,2003,1279725,-0.013207356577807916,-17128,"Seattle MD<br>2003: 1 279.7k, -1.3%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2004,1284677,0.0038695813553693004,4952,"Seattle MD<br>2004: 1 284.7k, 0.4%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2005,1311172,0.02062386109504577,26495,"Seattle MD<br>2005: 1 311.2k, 2.1%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2006,1356889,0.03486727904500708,45717,"Seattle MD<br>2006: 1 356.9k, 3.5%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2007,1405487,0.03581575206225418,48598,"Seattle MD<br>2007: 1 405.5k, 3.6%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2008,1438164,0.023249592490005133,32677,"Seattle MD<br>2008: 1 438.2k, 2.3%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2009,1379582,-0.040733880141625045,-58582,"Seattle MD<br>2009: 1 379.6k, -4.1%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2010,1334763,-0.0324873766111764,-44819,"Seattle MD<br>2010: 1 334.8k, -3.2%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2011,1357493,0.01702924039698428,22730,"Seattle MD<br>2011: 1 357.5k, 1.7%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2012,1395000,0.02762960840313733,37507,"Seattle MD<br>2012: 1 395.0k, 2.8%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2013,1435908,0.02932473118279577,40908,"Seattle MD<br>2013: 1 435.9k, 2.9%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2014,1479023,0.030026296949386744,43115,"Seattle MD<br>2014: 1 479.0k, 3.0%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2015,1524257,0.030583702890353948,45234,"Seattle MD<br>2015: 1 524.3k, 3.1%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2016,1572130,0.03140743326092643,47873,"Seattle MD<br>2016: 1 572.1k, 3.1%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2017,1618226,0.029320730473942902,46096,"Seattle MD<br>2017: 1 618.2k, 2.9%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2018,1658097,0.024638709302656103,39871,"Seattle MD<br>2018: 1 658.1k, 2.5%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2019,1700469,0.025554596624925985,42372,"Seattle MD<br>2019: 1 700.5k, 2.6%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2020,1723898,0.013777963608863297,23429,"Seattle MD<br>2020: 1 723.9k, 1.4%"
Seattle MD,TTL,Total Nonfarm,Mar Employment,2021,1610960,-0.06551315681090175,-112938,"Seattle MD<br>2021: 1 611.0k, -6.6%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2002,1308034,NA,NA,NA
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2003,1294391,-0.010430157014267194,-13643,"Seattle MD<br>2003: 1 294.4k, -1.0%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2004,1304299,0.00765456496530037,9908,"Seattle MD<br>2004: 1 304.3k, 0.8%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2005,1337613,0.025541689443908222,33314,"Seattle MD<br>2005: 1 337.6k, 2.6%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2006,1383444,0.03426327345801816,45831,"Seattle MD<br>2006: 1 383.4k, 3.4%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2007,1426455.75,0.031090344097773448,43011.75,"Seattle MD<br>2007: 1 426.5k, 3.1%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2008,1443249.5833333333,0.01177311902828615,16793.833333333256,"Seattle MD<br>2008: 1 443.2k, 1.2%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2009,1372582,-0.048964215302331304,-70667.58333333326,"Seattle MD<br>2009: 1 372.6k, -4.9%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2010,1355574,-0.012391245113224536,-17008,"Seattle MD<br>2010: 1 355.6k, -1.2%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2011,1384114,0.02105381189075617,28540,"Seattle MD<br>2011: 1 384.1k, 2.1%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2012,1420293,0.02613874290701479,36179,"Seattle MD<br>2012: 1 420.3k, 2.6%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2013,1462284,0.029565026371319192,41991,"Seattle MD<br>2013: 1 462.3k, 3.0%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2014,1505447,0.02951752190408974,43163,"Seattle MD<br>2014: 1 505.4k, 3.0%"
