area_label,naics_custom,naics_custom_label,measure,yr,lvl,gyy,dyy,hover_label
Bellevue,TTL,Total Nonfarm,Mar Employment,2000,118405,NA,NA,NA
Bellevue,TTL,Total Nonfarm,Mar Employment,2001,119696,0.010903255774671772,1291,"Bellevue<br>2001: 119.7k, 1.1%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2002,113767,-0.04953381900815401,-5929,"Bellevue<br>2002: 113.8k, -5.0%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2003,111974,-0.015760281979836033,-1793,"Bellevue<br>2003: 112.0k, -1.6%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2004,109055,-0.026068551628056547,-2919,"Bellevue<br>2004: 109.1k, -2.6%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2005,118948,0.09071569391591394,9893,"Bellevue<br>2005: 118.9k, 9.1%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2006,118278,-0.0056327134546187985,-670,"Bellevue<br>2006: 118.3k, -0.6%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2007,125101,0.05768612928862504,6823,"Bellevue<br>2007: 125.1k, 5.8%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2008,130064,0.03967194506838467,4963,"Bellevue<br>2008: 130.1k, 4.0%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2009,122047,-0.06163888547176777,-8017,"Bellevue<br>2009: 122.0k, -6.2%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2010,119973,-0.0169934533417454,-2074,"Bellevue<br>2010: 120.0k, -1.7%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2011,121836,0.015528493911129981,1863,"Bellevue<br>2011: 121.8k, 1.6%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2012,123475,0.013452509931383139,1639,"Bellevue<br>2012: 123.5k, 1.3%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2013,123039,-0.00353107916582307,-436,"Bellevue<br>2013: 123.0k, -0.4%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2014,128993,0.048391160526337185,5954,"Bellevue<br>2014: 129.0k, 4.8%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2015,135642,0.05154543269789835,6649,"Bellevue<br>2015: 135.6k, 5.2%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2016,136356,0.005263856327686112,714,"Bellevue<br>2016: 136.4k, 0.5%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2017,138312,0.014344803308985243,1956,"Bellevue<br>2017: 138.3k, 1.4%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2018,141411,0.02240586500086761,3099,"Bellevue<br>2018: 141.4k, 2.2%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2019,148560,0.05055476589515662,7149,"Bellevue<br>2019: 148.6k, 5.1%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2020,145145,-0.022987345180398466,-3415,"Bellevue<br>2020: 145.1k, -2.3%"
Bellevue,TTL,Total Nonfarm,Mar Employment,2021,144872,-0.0018808777429467627,-273,"Bellevue<br>2021: 144.9k, -0.2%"
Bellevue,"11, 21",Mining and Logging,Mar Employment,2000,30,NA,NA,NA
Bellevue,"11, 21",Mining and Logging,Mar Employment,2001,30,0,0,"Bellevue<br>2001: 0.0k, 0.0%"
Bellevue,"11, 21",Mining and Logging,Mar Employment,2002,96,2.2,66,"Bellevue<br>2002: 0.1k, 220.0%"
Bellevue,"11, 21",Mining and Logging,Mar Employment,2003,79,-0.17708333333333337,-17,"Bellevue<br>2003: 0.1k, -17.7%"
