data_source,area_label,naics_custom,naics_custom_label,measure,yr,lvl,gyy,dyy,hover_label
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2002,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2003,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2004,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2005,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2006,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2007,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2008,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2009,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2010,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2011,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2012,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2013,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2014,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2015,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2016,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2017,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2018,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2019,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2020,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2021,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2002,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2003,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2004,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2005,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2006,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2007,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2008,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2009,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2010,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2011,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2012,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2013,NA,NA,NA,NA
