yearm,KS_N_NSA,KS_NAER_NSA,KS_NCON_NSA,KS_NDUR_NSA,KS_NFIN_NSA,KS_NFINFI_NSA,KS_NFINRE_NSA,KS_NGDS_NSA,KS_NGOV_NSA,KS_NGOVFED_NSA,KS_NGOVSL_NSA,KS_NGOVSLEDU_NSA,KS_NINF_NSA,KS_NINFSW_NSA,KS_NLHS71_NSA,KS_NLHS72_NSA,KS_NMFG_NSA,KS_NNAT_NSA,KS_NNDUR_NSA,KS_NOSRV_NSA,KS_NPBS_NSA,KS_NPRV_NSA,KS_NSRV_NSA,KS_NTRD_NSA,KS_NTWU_NSA,KS_NODUR_NSA,KS_NLHS_NSA,WA_N_NSA,WA_NAER_NSA,WA_NCON_NSA,WA_NDUR_NSA,WA_NFIN_NSA,WA_NFINFI_NSA,WA_NFINRE_NSA,WA_NGDS_NSA,WA_NGOV_NSA,WA_NGOVFED_NSA,WA_NGOVSL_NSA,WA_NGOVSLEDU_NSA,WA_NINF_NSA,WA_NINFSW_NSA,WA_NLHS71_NSA,WA_NLHS72_NSA,WA_NMFG_NSA,WA_NNAT_NSA,WA_NNDUR_NSA,WA_NOSRV_NSA,WA_NPBS_NSA,WA_NPRV_NSA,WA_NSRV_NSA,WA_NTRD_NSA,WA_NTWU_NSA,WA_NODUR_NSA,WA_NLHS_NSA
Jan 1990,1076.9,114.7,57.6,179.6,69.2,47.5,21.7,272.4,143.9,21.6,122.3,68.2,31.5,6.4,13.3,72.5,213,1.8,33.4,219.4,117,933,804.5,174.4,49.1,64.89999999999999,85.8,2070.1,115.3,103.4,246.9,112.5,75.9,36.6,446.8,389.1,72.8,316.3,170.8,48.8,6.5,25.7,152.7,331.5,11.9,84.6,466.6,187.5,1681,1623.3,337.3,81.5,131.60000000000002,178.39999999999998
Feb 1990,1082.2,114,57.3,178.7,69.6,47.6,22,271.3,149.3,21.5,127.8,69.4,31.7,6.6,13.7,71.9,212.2,1.8,33.5,220.9,118.6,932.9,810.9,172.1,48.7,64.69999999999999,85.60000000000001,2081,114.8,102.3,246.5,113.1,76.2,36.9,445,400.1,72.8,327.3,175.1,49.1,6.7,26.9,152.7,331,11.7,84.5,470.9,188.1,1680.9,1636,333.8,80.9,131.7,179.6
Mar 1990,1091.3,113.6,59.9,179.2,70.2,47.8,22.4,275,146.7,21.8,124.9,69.9,31.2,6.7,14.1,73.6,213.3,1.8,34.1,224.9,120.7,944.6,816.3,173.1,49.5,65.6,87.69999999999999,2105,114.5,108.8,247.7,114.2,76.5,37.7,453.8,397.7,73.8,323.9,176.2,48.8,6.8,27.8,156,333.4,11.6,85.7,477.9,192.1,1707.3,1651.2,338.3,82.2,133.2,183.8
Apr 1990,1094.6,112.7,60.9,177.4,70.3,47.8,22.5,274.7,147.1,22,125.1,69.8,31.1,6.8,15.5,73.9,211.8,2,34.4,225.7,122.6,947.5,819.9,173.1,50,64.7,89.4,2127,113.6,113.4,246.2,115.2,76.9,38.3,460,400.5,75.2,325.3,176,48.9,7,29.6,159.2,334.3,12.3,88.1,483.9,194.6,1726.5,1667,341.7,82.2,132.6,188.79999999999998
May 1990,1107,112,62.9,176.9,71,47.9,23.1,276.8,149,22.7,126.3,69.9,31.4,6.9,16,75.9,211.9,2,35,229.2,123.2,958,830.2,174.6,51.8,64.9,91.9,2154.1,112.8,117.8,246.2,116.3,77,39.3,466.8,404.7,77.1,327.6,176.3,49.3,7.1,29.6,163.9,336.1,12.9,89.9,490.4,196.3,1749.4,1687.3,346.1,84.2,133.39999999999998,193.5
Jun 1990,1121.3,111.6,64.7,177,71.7,48.1,23.6,279.4,150,22.2,127.8,70,31.9,7.2,16.5,77.9,212.6,2.1,35.6,232.9,125.7,971.3,841.9,177,52.7,65.4,94.4,2181.8,112.2,121.9,246.7,117.5,77.4,40.1,473.9,405.2,75.9,329.3,173.4,50.1,7.3,29.9,168.6,338.8,13.2,92.1,496.7,199.9,1776.6,1707.9,353,85.5,134.5,198.5
Jul 1990,1115.1,112,66,178.2,71.6,47.9,23.7,282.7,141.1,22.4,118.7,58.8,32.3,7.4,16.5,77.6,214.6,2.1,36.4,231.2,126.8,974,832.4,177,52.4,66.19999999999999,94.1,2156.7,112.5,123.8,248.1,117.5,77.3,40.2,476.9,380.6,75.3,305.3,141.4,50.2,7.5,30.4,167,340.5,12.6,92.4,493.5,202.1,1776.1,1679.8,351,84.9,135.6,197.4
Aug 1990,1123.1,111.5,68.1,177.9,71.8,47.9,23.9,284.5,139.9,21.6,118.3,56.6,32.9,7.6,16.4,79.1,214.3,2.1,36.4,233.8,128.6,983.2,838.6,178.6,53,66.4,95.5,2171.8,112.1,128.8,247.2,117.8,77.3,40.5,484.7,374.9,73.1,301.8,136.7,51,7.7,30.4,170.1,342.4,13.5,95.2,498.8,205.1,1796.9,1687.1,353.1,86.4,135.1,200.5
Sep 1990,1129.7,111.2,67.3,177.3,71.6,47.8,23.8,283.3,147.8,21.4,126.4,63.4,32.4,7.6,15.8,78.1,213.9,2.1,36.6,234.1,129.4,981.9,846.4,178.2,52.9,66.10000000000001,93.89999999999999,2194.8,112,128.1,246.9,117.5,77.3,40.2,484.5,393,72.5,320.5,157.2,50.7,7.7,30.5,169.4,343,13.4,96.1,502.2,205.6,1801.8,1710.3,354.1,87.2,134.9,199.9
Oct 1990,1117.3,111,63.5,175.8,70.8,47.7,23.1,277.3,148.7,21.1,127.6,70.7,31.6,7.5,14.6,76.1,211.7,2.1,35.9,230.9,127,968.6,840,179.4,51.6,64.80000000000001,90.69999999999999,2174.7,111.7,122.1,243.8,116.3,77,39.3,472.2,404.1,71.9,332.2,176.6,49.6,7.7,28.6,163.6,337,13.1,93.2,494.5,201.6,1770.6,1702.5,351.5,84.9,132.10000000000002,192.2
